index, file, trace_file_size, selected_greedy, score_rowsum, score_unitarian, score_block_target
0, "exemplar_001091", 173009, 0, 9740, 3, 0
1, "exemplar_002444", 173009, 0, 9739, 2, 0
2, "exemplar_002483", 173009, 0, 9740, 3, 0
3, "exemplar_003692", 168944, 0, 12984, 1, 0
4, "exemplar_000645", 168944, 0, 11114, 1, 0
5, "exemplar_002972", 168942, 0, 15135, 2, 0
6, "exemplar_004508", 168941, 0, 13360, 1, 0
7, "exemplar_000736", 168940, 0, 13530, 2, 0
8, "exemplar_001039", 168939, 0, 11929, 3, 0
9, "exemplar_002139", 168938, 0, 11916, 0, 0
10, "exemplar_002811", 168938, 0, 11877, 3, 0
11, "exemplar_004364", 168934, 0, 13425, 0, 0
12, "exemplar_002451", 168934, 0, 13540, 2, 0
13, "exemplar_004175", 168933, 0, 13572, 1, 0
14, "exemplar_003527", 168933, 0, 14979, 2, 0
15, "exemplar_003354", 168933, 0, 13576, 1, 0
16, "exemplar_000997", 168932, 0, 13522, 2, 0
17, "exemplar_003796", 168930, 0, 12099, 0, 0
18, "exemplar_002473", 168930, 0, 12058, 1, 0
19, "exemplar_004356", 168928, 0, 12032, 2, 0
20, "exemplar_000688", 168926, 0, 13457, 1, 0
21, "exemplar_001426", 168926, 0, 14965, 1, 0
22, "exemplar_004223", 168926, 0, 13458, 1, 0
23, "exemplar_000247", 168926, 0, 13562, 1, 0
24, "exemplar_000958", 168926, 0, 15115, 1, 0
25, "exemplar_000535", 168926, 0, 13586, 1, 0
26, "exemplar_004272", 168926, 0, 14994, 0, 0
27, "exemplar_000663", 168926, 0, 13562, 1, 0
28, "exemplar_004345", 168926, 0, 13578, 1, 0
29, "exemplar_004610", 168926, 0, 14996, 0, 0
30, "exemplar_004563", 168926, 0, 15135, 0, 0
31, "exemplar_003615", 168926, 0, 14954, 0, 0
32, "exemplar_002949", 168925, 0, 15082, 2, 0
33, "exemplar_004506", 168925, 0, 15068, 0, 0
34, "exemplar_004705", 168925, 0, 14962, 1, 0
35, "exemplar_002782", 168925, 0, 15073, 0, 0
36, "exemplar_003256", 168924, 0, 15160, 0, 0
37, "exemplar_003642", 168924, 0, 13583, 0, 0
38, "exemplar_003082", 168924, 0, 15083, 0, 0
39, "exemplar_003393", 168924, 0, 15175, 0, 0
40, "exemplar_000509", 168924, 0, 15160, 1, 0
41, "exemplar_002432", 168924, 0, 15157, 0, 0
42, "exemplar_002975", 168924, 0, 13583, 0, 0
43, "exemplar_001716", 168923, 0, 11950, 0, 0
44, "exemplar_001281", 168923, 0, 11860, 1, 0
45, "exemplar_003279", 168923, 0, 11936, 0, 0
46, "exemplar_001997", 168922, 0, 11903, 0, 0
47, "exemplar_002064", 168922, 0, 15093, 0, 0
48, "exemplar_003102", 168922, 0, 11912, 0, 0
49, "exemplar_000269", 168922, 0, 13524, 1, 0
50, "exemplar_001216", 168920, 0, 12053, 0, 0
51, "exemplar_000833", 168920, 0, 12019, 0, 0
52, "exemplar_001328", 168913, 0, 13413, 0, 0
53, "exemplar_000697", 168913, 0, 13412, 0, 0
54, "exemplar_004135", 168913, 0, 15044, 0, 0
55, "exemplar_002962", 168913, 0, 13411, 0, 0
56, "exemplar_000582", 168913, 0, 15041, 1, 0
57, "exemplar_003362", 168913, 0, 15047, 0, 0
58, "exemplar_001590", 168913, 0, 15080, 0, 0
59, "exemplar_003188", 168913, 0, 13412, 0, 0
60, "exemplar_003535", 168912, 0, 12121, 0, 0
61, "exemplar_002580", 168912, 0, 12121, 0, 0
62, "exemplar_001508", 168912, 0, 12132, 0, 0
63, "exemplar_002666", 168912, 0, 12116, 0, 0
64, "exemplar_000214", 168907, 0, 15158, 0, 0
65, "exemplar_000170", 168907, 0, 15084, 0, 0
66, "exemplar_003949", 168907, 0, 15142, 0, 0
67, "exemplar_000572", 168907, 0, 14832, 1, 0
68, "exemplar_004746", 168907, 0, 15094, 0, 0
69, "exemplar_002606", 168903, 0, 15095, 0, 0
70, "exemplar_003669", 168903, 0, 15121, 0, 0
71, "exemplar_000877", 168903, 0, 14895, 0, 0
72, "exemplar_001929", 168903, 0, 15146, 0, 0
73, "exemplar_000453", 168903, 0, 14972, 0, 0
74, "exemplar_002560", 168903, 0, 13554, 1, 0
75, "exemplar_002370", 168903, 0, 14979, 0, 0
76, "exemplar_004518", 168903, 0, 15132, 0, 0
77, "exemplar_004467", 168903, 0, 15091, 0, 0
78, "exemplar_003658", 168903, 0, 15092, 0, 0
79, "exemplar_004557", 168903, 0, 15105, 0, 0
80, "exemplar_001895", 168903, 0, 13575, 0, 0
81, "exemplar_002276", 168903, 0, 15090, 0, 0
82, "exemplar_004376", 168903, 0, 13489, 0, 0
83, "exemplar_002105", 168903, 0, 15091, 0, 0
84, "exemplar_002655", 168903, 0, 13481, 0, 0
85, "exemplar_002063", 168903, 0, 15091, 0, 0
86, "exemplar_000296", 168903, 0, 15085, 0, 0
87, "exemplar_002857", 168903, 0, 15110, 0, 0
88, "exemplar_004605", 168903, 0, 14630, 0, 0
89, "exemplar_002978", 168903, 0, 15105, 0, 0
90, "exemplar_003919", 168903, 0, 15096, 0, 0
91, "exemplar_003995", 168903, 0, 14898, 0, 0
92, "exemplar_004735", 168903, 0, 15092, 0, 0
93, "exemplar_001923", 168903, 0, 15094, 0, 0
94, "exemplar_004126", 168903, 0, 15064, 0, 0
95, "exemplar_003453", 168903, 0, 14791, 0, 0
96, "exemplar_003679", 168903, 0, 14575, 0, 0
97, "exemplar_004218", 168903, 0, 15116, 0, 0
98, "exemplar_000185", 168903, 0, 15114, 0, 0
99, "exemplar_003992", 168903, 0, 13588, 0, 0
100, "exemplar_000984", 168903, 0, 15102, 0, 0
101, "exemplar_000297", 168902, 0, 11812, 1, 0
102, "exemplar_001005", 168901, 0, 11819, 1, 0
103, "exemplar_003904", 168901, 0, 11868, 1, 0
104, "exemplar_001605", 168898, 0, 15095, 1, 0
105, "exemplar_003385", 168898, 0, 13589, 0, 0
106, "exemplar_004468", 168898, 0, 14932, 0, 0
107, "exemplar_003308", 168898, 0, 14869, 0, 0
108, "exemplar_004033", 168898, 0, 13560, 0, 0
109, "exemplar_004342", 168898, 0, 13600, 0, 0
110, "exemplar_000565", 168898, 0, 13563, 1, 0
111, "exemplar_003859", 168898, 0, 15083, 1, 0
112, "exemplar_001052", 168898, 0, 13538, 0, 0
113, "exemplar_001346", 168898, 0, 14978, 0, 0
114, "exemplar_003434", 168898, 0, 13582, 0, 0
115, "exemplar_000046", 168898, 0, 15112, 0, 0
116, "exemplar_000281", 168898, 0, 13568, 1, 0
117, "exemplar_000126", 168898, 0, 13578, 0, 0
118, "exemplar_002197", 168898, 0, 15202, 0, 0
119, "exemplar_002395", 168898, 0, 14918, 0, 0
120, "exemplar_000875", 168898, 0, 14989, 0, 0
121, "exemplar_000485", 168898, 0, 15006, 0, 0
122, "exemplar_001270", 168898, 0, 13600, 0, 0
123, "exemplar_002635", 168898, 0, 13587, 0, 0
124, "exemplar_000965", 168898, 0, 14968, 0, 0
125, "exemplar_001433", 168898, 0, 14923, 0, 0
126, "exemplar_003165", 168898, 0, 14919, 0, 0
127, "exemplar_001498", 168898, 0, 14901, 0, 0
128, "exemplar_002164", 168898, 0, 15101, 0, 0
129, "exemplar_001195", 168898, 0, 13563, 1, 0
130, "exemplar_002992", 168898, 0, 14921, 0, 0
131, "exemplar_003455", 168898, 0, 13540, 0, 0
132, "exemplar_001244", 168898, 0, 13569, 0, 0
133, "exemplar_000313", 168898, 0, 13612, 1, 0
134, "exemplar_000702", 168898, 0, 14991, 1, 0
135, "exemplar_004779", 168898, 0, 15100, 1, 0
136, "exemplar_003397", 168898, 0, 13544, 0, 0
137, "exemplar_002005", 168898, 0, 15158, 1, 0
138, "exemplar_003940", 168898, 0, 13579, 0, 0
139, "exemplar_003869", 168898, 0, 15124, 0, 0
140, "exemplar_003797", 168898, 0, 13406, 0, 0
141, "exemplar_002237", 168898, 0, 14874, 0, 0
142, "exemplar_000524", 168898, 0, 14830, 0, 0
143, "exemplar_004760", 168898, 0, 13377, 0, 0
144, "exemplar_003953", 168898, 0, 13369, 0, 0
145, "exemplar_001302", 168898, 0, 15143, 0, 0
146, "exemplar_003871", 168898, 0, 13438, 0, 0
147, "exemplar_004484", 168898, 0, 13419, 0, 0
148, "exemplar_004435", 168898, 0, 15111, 0, 0
149, "exemplar_003567", 168898, 0, 14977, 0, 0
150, "exemplar_003020", 168898, 0, 13378, 0, 0
151, "exemplar_003408", 168898, 0, 15110, 0, 0
152, "exemplar_000753", 168898, 0, 13473, 1, 0
153, "exemplar_002648", 168898, 0, 15021, 1, 0
154, "exemplar_000649", 168898, 0, 13549, 0, 0
155, "exemplar_003732", 168898, 0, 13587, 0, 0
156, "exemplar_002504", 168898, 0, 15198, 0, 0
157, "exemplar_001144", 168898, 0, 15075, 1, 0
158, "exemplar_002336", 168898, 0, 13596, 0, 0
159, "exemplar_001676", 168898, 0, 13439, 0, 0
160, "exemplar_001538", 168898, 0, 13544, 0, 0
161, "exemplar_003296", 168898, 0, 14953, 0, 0
162, "exemplar_000614", 168898, 0, 13565, 0, 0
163, "exemplar_001368", 168898, 0, 15140, 1, 0
164, "exemplar_003320", 168898, 0, 13578, 0, 0
165, "exemplar_000124", 168898, 0, 13417, 0, 0
166, "exemplar_000482", 168898, 0, 13554, 0, 0
167, "exemplar_001529", 168898, 0, 13563, 0, 0
168, "exemplar_000790", 168898, 0, 15143, 0, 0
169, "exemplar_000370", 168898, 0, 13566, 0, 0
170, "exemplar_000809", 168898, 0, 15134, 0, 0
171, "exemplar_000989", 168898, 0, 14973, 0, 0
172, "exemplar_001712", 168898, 0, 13583, 0, 0
173, "exemplar_001304", 168898, 0, 15179, 0, 0
174, "exemplar_002612", 168898, 0, 13588, 0, 0
175, "exemplar_000993", 168898, 0, 15052, 2, 0
176, "exemplar_000364", 168898, 0, 15191, 0, 0
177, "exemplar_003842", 168898, 0, 15158, 0, 0
178, "exemplar_001897", 168898, 0, 13375, 2, 0
179, "exemplar_004510", 168898, 0, 13585, 1, 0
180, "exemplar_002313", 168898, 0, 13595, 0, 0
181, "exemplar_002221", 168898, 0, 13537, 0, 0
182, "exemplar_002025", 168898, 0, 14963, 1, 0
183, "exemplar_000561", 168898, 0, 13553, 0, 0
184, "exemplar_002926", 168898, 0, 15165, 0, 0
185, "exemplar_002143", 168898, 0, 13417, 0, 0
186, "exemplar_003525", 168898, 0, 15069, 0, 0
187, "exemplar_000012", 168898, 0, 13539, 0, 0
188, "exemplar_001653", 168898, 0, 15015, 0, 0
189, "exemplar_001633", 168898, 0, 15179, 0, 0
190, "exemplar_004170", 168898, 0, 15113, 0, 0
191, "exemplar_000149", 168898, 0, 13556, 0, 0
192, "exemplar_000862", 168898, 0, 13583, 0, 0
193, "exemplar_003848", 168898, 0, 15139, 0, 0
194, "exemplar_001205", 168898, 0, 13573, 0, 0
195, "exemplar_002545", 168898, 0, 13421, 0, 0
196, "exemplar_002094", 168898, 0, 15172, 0, 0
197, "exemplar_001392", 168898, 0, 15069, 0, 0
198, "exemplar_004737", 168898, 0, 13408, 0, 0
199, "exemplar_002716", 168898, 0, 13536, 0, 0
200, "exemplar_000983", 168898, 0, 13560, 0, 0
201, "exemplar_004125", 168898, 0, 13562, 0, 0
202, "exemplar_002768", 168898, 0, 13543, 0, 0
203, "exemplar_002270", 168898, 0, 14903, 0, 0
204, "exemplar_000969", 168898, 0, 13578, 0, 0
205, "exemplar_001477", 168898, 0, 13509, 0, 0
206, "exemplar_004730", 168898, 0, 14831, 0, 0
207, "exemplar_001869", 168898, 0, 13589, 0, 0
208, "exemplar_004538", 168898, 0, 13426, 0, 0
209, "exemplar_000619", 168898, 0, 13583, 0, 0
210, "exemplar_000375", 168898, 0, 13563, 0, 0
211, "exemplar_000806", 168898, 0, 13563, 0, 0
212, "exemplar_001452", 168898, 0, 15111, 0, 0
213, "exemplar_001158", 168898, 0, 13432, 0, 0
214, "exemplar_003002", 168898, 0, 14924, 0, 0
215, "exemplar_000279", 168898, 0, 15090, 1, 0
216, "exemplar_004642", 168898, 0, 13563, 0, 0
217, "exemplar_003292", 168898, 0, 13584, 0, 0
218, "exemplar_002171", 168898, 0, 13600, 0, 0
219, "exemplar_001769", 168898, 0, 15112, 0, 0
220, "exemplar_000368", 168892, 0, 13403, 0, 0
221, "exemplar_000438", 168892, 0, 13559, 0, 0
222, "exemplar_003894", 168892, 0, 13565, 0, 0
223, "exemplar_004372", 168892, 0, 15016, 0, 0
224, "exemplar_003235", 168892, 0, 13427, 0, 0
225, "exemplar_001166", 168892, 0, 13563, 0, 0
226, "exemplar_001061", 168892, 0, 15119, 0, 0
227, "exemplar_000332", 168892, 0, 13391, 0, 0
228, "exemplar_002261", 168892, 0, 12997, 0, 0
229, "exemplar_004182", 168892, 0, 13434, 0, 0
230, "exemplar_001918", 168892, 0, 13588, 0, 0
231, "exemplar_000513", 168892, 0, 13008, 0, 0
232, "exemplar_002521", 168892, 0, 13013, 0, 0
233, "exemplar_004334", 168892, 0, 13559, 0, 0
234, "exemplar_004781", 168892, 0, 13540, 0, 0
235, "exemplar_003414", 168892, 0, 14983, 0, 0
236, "exemplar_004020", 168892, 0, 13557, 0, 0
237, "exemplar_002912", 168892, 0, 13586, 0, 0
238, "exemplar_002376", 168892, 0, 14946, 0, 0
239, "exemplar_001461", 168892, 0, 14985, 0, 0
240, "exemplar_000186", 168892, 0, 15125, 0, 0
241, "exemplar_004411", 168892, 0, 13049, 0, 0
242, "exemplar_000456", 168892, 0, 13588, 0, 0
243, "exemplar_003782", 168892, 0, 13612, 0, 0
